batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate
CSK,11,11.1,7.0,1.0,2.0,0.0,0.0,CSK,56.38,Faf du Plessis,26.0,25.0,2.0,0.0,Ambati Rayudu,47.0,30.0,5.0,2.0,Krunal Pandya,3.0,0.0,24.0,0.0,Rahul Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,34.28,7.36,27.9,28.54,7.72,22.1
CSK,12,12.1,11.0,1.0,0.0,0.0,0.0,CSK,56.85,Ambati Rayudu,52.0,34.0,6.0,2.0,Faf du Plessis,28.0,27.0,2.0,0.0,Jasprit Bumrah,2.0,0.0,21.0,0.0,Krunal Pandya,3.0,0.0,24.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,22.51,7.3,18.5,34.28,7.36,27.9
CSK,13,13.1,6.0,0.0,1.0,0.0,0.0,CSK,68.85,Faf du Plessis,31.0,30.0,2.0,0.0,Ambati Rayudu,60.0,37.0,6.0,3.0,Rahul Chahar,3.0,0.0,31.0,0.0,Jasprit Bumrah,2.0,0.0,21.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,28.54,7.72,22.1,22.51,7.3,18.5
CSK,14,14.1,11.0,1.0,1.0,0.0,1.0,CSK,63.1,Ambati Rayudu,64.0,41.0,6.0,3.0,Faf du Plessis,33.0,32.0,2.0,0.0,James Pattinson,3.0,0.0,14.0,1.0,Rahul Chahar,3.0,0.0,31.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,29.09,9.01,19.3,28.54,7.72,22.1
CSK,15,15.1,5.0,0.0,0.0,1.0,0.0,CSK,78.41,Ambati Rayudu,69.0,45.0,6.0,3.0,Faf du Plessis,38.0,34.0,3.0,0.0,Jasprit Bumrah,3.0,0.0,32.0,0.0,James Pattinson,3.0,0.0,14.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,22.51,7.3,18.5,29.09,9.01,19.3
CSK,16,16.1,13.0,2.0,0.0,0.0,0.0,CSK,64.11,Faf du Plessis,41.0,37.0,3.0,0.0,,0.0,0.0,0.0,0.0,Rahul Chahar,4.0,0.0,36.0,1.0,Jasprit Bumrah,3.0,0.0,32.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,0.0,0.0,28.54,7.72,22.1,22.51,7.3,18.5
CSK,17,17.1,13.0,2.0,0.0,1.0,0.0,CSK,76.95,Ravindra Jadeja,10.0,4.0,2.0,0.0,Faf du Plessis,44.0,39.0,3.0,0.0,James Pattinson,4.0,0.0,27.0,1.0,Rahul Chahar,4.0,0.0,36.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,27.39,129.78,35.99,136.36,29.09,9.01,19.3,28.54,7.72,22.1
CSK,18,18.1,11.0,2.0,2.0,1.0,0.0,CSK,94.34,Sam Curran,12.0,4.0,1.0,1.0,Faf du Plessis,45.0,40.0,3.0,0.0,Krunal Pandya,4.0,0.0,37.0,1.0,James Pattinson,4.0,0.0,27.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,25.22,136.47,35.99,136.36,34.28,7.36,27.9,29.09,9.01,19.3
CSK,19,19.1,8.0,2.0,0.0,0.0,0.0,CSK,98.2,MS Dhoni,0.0,2.0,0.0,0.0,Faf du Plessis,50.0,42.0,4.0,0.0,Jasprit Bumrah,4.0,0.0,43.0,1.0,Krunal Pandya,4.0,0.0,37.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,39.12,137.53,35.99,136.36,22.51,7.3,18.5,34.28,7.36,27.9
CSK,0,0.1,5.0,1.0,3.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0.1,12.0,2.0,1.0,0.0,0.0,,,Quinton de Kock,7.0,4.0,1.0,0.0,Rohit Sharma,5.0,2.0,1.0,0.0,Deepak Chahar,1.0,0.0,12.0,0.0,,0.0,0.0,0.0,0.0,,,,,31.25,134.22,29.72,131.14,28.84,7.98,21.6,0.0,0.0,0.0
